UF,População,epiweek,corredor baixo,corredor mediano,corredor alto,ano,Unidade da Federação,Tipo,dado,escala
11,1823741,43,0.0,0.0,0.0,2017,Rondônia,Estado,srag,incidência
11,1823741,44,0.0,0.02836130867687725,0.061426937077167176,2017,Rondônia,Estado,srag,incidência
11,1823741,45,0.0,0.0,0.0,2017,Rondônia,Estado,srag,incidência
11,1823741,46,0.0,0.014162102891797982,0.04250373223571136,2017,Rondônia,Estado,srag,incidência
11,1823741,47,0.0,0.0,0.0,2017,Rondônia,Estado,srag,incidência
11,1823741,48,0.0,0.014000923269161136,0.04201339016134864,2017,Rondônia,Estado,srag,incidência
11,1823741,49,0.0,0.014000923269161136,0.04201339016134864,2017,Rondônia,Estado,srag,incidência
11,1823741,50,0.0,0.0,0.0,2017,Rondônia,Estado,srag,incidência
11,1823741,51,0.0,0.0,0.0,2017,Rondônia,Estado,srag,incidência
11,1823741,52,0.0,0.0,0.0,2017,Rondônia,Estado,srag,incidência
12,842290,1,0.09784984178869904,0.22471073764311456,0.3662309122844758,2017,Acre,Estado,srag,incidência
12,842290,2,0.07914750350389488,0.2332035722760517,0.4092522530391289,2017,Acre,Estado,srag,incidência
12,842290,3,0.020978361480497254,0.1181869319381279,0.22465084660962972,2017,Acre,Estado,srag,incidência
12,842290,4,0.0,0.09949560014089442,0.21096521952699265,2017,Acre,Estado,srag,incidência
12,842290,5,0.0,0.1982498637728796,0.44400219156500254,2017,Acre,Estado,srag,incidência
12,842290,6,0.042348149029670434,0.15383160453253253,0.27723867774645283,2017,Acre,Estado,srag,incidência
12,842290,7,0.0,0.06632334563234242,0.1681960497017303,2017,Acre,Estado,srag,incidência
12,842290,8,0.01420312596648965,0.1923180545718568,0.4017136280301597,2017,Acre,Estado,srag,incidência
12,842290,9,0.1923859532243588,0.3351625819854269,0.4950353243540497,2017,Acre,Estado,srag,incidência
12,842290,10,0.10418600672652767,0.28841653450624616,0.5033854407468679,2017,Acre,Estado,srag,incidência
12,842290,11,0.07029331542666363,0.224100296811824,0.4000101795062241,2017,Acre,Estado,srag,incidência
12,842290,12,0.06521467183431384,0.19098115233270185,0.3315964778903813,2017,Acre,Estado,srag,incidência
12,842290,13,0.0803366692565417,0.3342360344932547,0.6478065092110229,2017,Acre,Estado,srag,incidência
12,842290,14,0.1608136298301308,0.3394149256271841,0.5454955876555371,2017,Acre,Estado,srag,incidência
12,842290,15,0.05451770321998306,0.3406399088471905,0.7043956300645107,2017,Acre,Estado,srag,incidência
12,842290,16,0.017644453710284447,0.2283332987349897,0.4826422797079637,2017,Acre,Estado,srag,incidência
12,842290,17,0.07956876997972495,0.32545205354527496,0.6273378733254584,2017,Acre,Estado,srag,incidência
12,842290,18,0.0,0.2951141586032409,0.7992732255906883,2017,Acre,Estado,srag,incidência
12,842290,19,0.01586237647936639,0.24352904624760785,0.5222184861503179,2017,Acre,Estado,srag,incidência
12,842290,20,0.1826202627642981,0.4555390986173109,0.7914406968231862,2017,Acre,Estado,srag,incidência
