UF,População,Média geométrica do pico de infecção das temporadas regulares,região de baixa atividade típica,limiar pré-epidêmico,intensidade alta,intensidade muito alta,SE típica do início do surto,"SE típica do início do surto - IC inferior (2,5%)","SE típica do início do surto - IC superior (97,5%)",duração típica do surto,"duração típica do surto - IC inferior (2,5%)","duração típica do surto - IC superior (97,5%)",temporadas utilizadas para os corredores endêmicos,ano,Unidade da Federação,Tipo,dado,escala
16,812961,2.134086149923737,1,0.5,3.790193887892024,5.04491379768196,,,,,,,"2010, 2011, 2012, 2013, 2015, 2016",2017,Amapá,Estado,srag,casos
17,1567016,3.278653745388486,0,2.586458362149625,3.460633706313411,4.4059581130843215,19.0,13.0,45.0,8.0,5.0,17.0,"2010, 2011, 2012, 2013, 2014, 2015, 2016",2017,Tocantins,Estado,srag,casos
21,7043339,4.990641966772051,1,0.5000000000000001,5.1140332865651095,6.586567124922982,,,,,,,"2012, 2013, 2014, 2015, 2016",2017,Maranhão,Estado,srag,casos
22,3224536,4.901041782588299,0,4.661432022916916,7.633786863006146,11.688328027511083,11.0,3.0,12.0,9.0,6.0,11.0,"2011, 2012, 2013, 2014, 2015",2017,Piauí,Estado,srag,casos
23,9075744,10.486397338943874,0,3.608117457539179,14.656390035417397,18.651315558999098,13.0,2.0,46.0,12.0,6.0,15.0,"2010, 2011, 2012, 2013, 2014, 2015, 2016",2017,Ceará,Estado,srag,casos
24,3538218,11.584435853891996,0,5.47959318264174,16.68241977489326,26.44568697528862,11.0,1.0,20.0,8.0,1.0,10.0,"2010, 2012, 2013, 2014, 2015, 2016",2017,Rio Grande do Norte,Estado,srag,casos
25,4050662,1.7652333379614238,1,0.5,2.0,2.9999999999999996,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015",2017,Paraíba,Estado,srag,casos
26,9534634,53.099002548779715,0,33.997657741756065,63.56236295539186,76.0586704531649,15.0,13.0,40.0,10.0,1.0,12.0,"2013, 2014, 2015, 2016",2017,Pernambuco,Estado,srag,casos
27,3391142,1.9660816323366102,1,0.49999999999999994,2.6101420206016526,3.3640593569750483,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015",2017,Alagoas,Estado,srag,casos
28,2309961,1.0586455392598935,1,0.49999999999999994,1.9999999999999998,3.0,,,,,,,"2010, 2012, 2013, 2015",2017,Sergipe,Estado,srag,casos
29,15408073,16.463627009165844,0,5.8580075183371045,16.7084760126417,24.24982860926167,15.0,7.0,29.0,12.0,9.0,16.0,"2010, 2012, 2013, 2014, 2015",2017,Bahia,Estado,srag,casos
31,21235870,115.0410814302732,0,85.19904044137074,233.38015226304054,314.92761256076767,18.0,13.0,26.0,11.0,7.0,13.0,"2011, 2012, 2013, 2014, 2015, 2016",2017,Minas Gerais,Estado,srag,casos
32,4058079,5.207592208519799,0,2.698050969976869,6.925978407385065,8.852318921585017,21.0,11.0,26.0,12.0,3.0,18.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Espírito Santo,Estado,srag,casos
33,16798421,27.162353359741186,0,12.033579069480808,31.237432677092023,43.238022435831745,17.0,11.0,21.0,13.0,7.0,15.0,"2010, 2012, 2013, 2014, 2015",2017,Rio de Janeiro,Estado,srag,casos
35,45429330,188.20171849338635,0,71.95421450966,196.54199817846296,242.24257370996335,13.0,9.0,23.0,14.0,12.0,17.0,"2010, 2012, 2014, 2015",2017,São Paulo,Estado,srag,casos
41,11396262,171.49129179860287,0,65.0580907145025,245.66154716580172,357.0218178492536,18.0,9.0,24.0,13.0,9.0,16.0,"2010, 2012, 2013, 2014, 2015, 2016",2017,Paraná,Estado,srag,casos
42,7090682,69.3408878162115,0,28.967533953826038,123.79151643154769,188.53519570133605,18.0,13.0,22.0,14.0,5.0,18.0,"2010, 2013, 2014, 2015, 2016",2017,Santa Catarina,Estado,srag,casos
43,11356804,154.4928037972398,0,44.87588366168074,205.4436875782821,292.3490162860008,20.0,14.0,24.0,12.0,10.0,16.0,"2011, 2012, 2013, 2014, 2015, 2016",2017,Rio Grande do Sul,Estado,srag,casos
50,2743142,21.515111442740015,0,12.738244008129453,40.06725261882072,61.33840230064847,22.0,19.0,23.0,11.0,8.0,15.0,"2010, 2012, 2013, 2014, 2015",2017,Mato Grosso do Sul,Estado,srag,casos
51,3382487,5.298298825195165,0,2.488975092412109,7.801934682489683,10.309516287506181,16.0,7.0,22.0,11.0,7.0,13.0,"2010, 2012, 2013, 2014, 2015",2017,Mato Grosso,Estado,srag,casos
52,6860047,23.966093092554008,0,11.562505951255337,24.333565104378224,31.340117944064687,16.0,9.0,35.0,9.0,6.0,11.0,"2010, 2012, 2013, 2014, 2015",2017,Goiás,Estado,srag,casos
53,3101220,18.394931333734068,0,7.717769657341425,22.514183797826032,37.048062671658805,12.0,9.0,33.0,11.0,7.0,13.0,"2010, 2012, 2013, 2014, 2015, 2016",2017,Distrito Federal,Estado,srag,casos
BR,209186802,817.0011517460287,0,404.5835882803406,1187.2612508635318,1641.9684817067607,17.0,9.0,22.0,12.0,10.0,15.0,"2010, 2012, 2013, 2014, 2015",2017,Brasil,País,srag,casos
CO,16086896,54.34852104454073,0,26.358817377116655,59.44672897025527,76.86074424848576,16.0,9.0,24.0,12.0,7.0,15.0,"2010, 2012, 2013, 2014, 2015",2017,Região Centro-oeste,Região,srag,casos
N,18158149,82.60049384858733,0,19.548514163052523,113.62871020953291,175.58178027241968,12.0,7.0,16.0,10.0,9.0,13.0,"2010, 2013, 2014, 2016",2017,Região Norte,Região,srag,casos
NE,57576309,75.97222025842618,0,55.984973480885635,159.00892921440763,237.05751119458242,13.0,8.0,21.0,10.0,3.0,12.0,"2010, 2012, 2013, 2014, 2015, 2016",2017,Região Nordeste,Região,srag,casos
RegC,27921787,62.63545723859726,0,25.731868872961478,68.5333012151672,90.45141680950378,13.0,9.0,24.0,13.0,10.0,18.0,"2010, 2012, 2013, 2014, 2015",2017,Regional Centro,Regional,srag,casos
RegL,68164934,70.16023052395458,0,58.53806973400433,102.88524167415775,116.52842245114888,17.0,11.0,21.0,13.0,8.0,13.0,"2010, 2012, 2013, 2014, 2015",2017,Regional Leste,Regional,srag,casos
RegN,16591133,79.36715855203887,0,19.050360000417594,113.07842161188717,178.09615748560924,12.0,7.0,16.0,10.0,9.0,13.0,"2010, 2013, 2014, 2016",2017,Regional Norte,Regional,srag,casos
RegS,96508948,507.44097914986145,0,271.87722412326735,1013.7024978490365,1497.1059772523076,17.0,9.0,22.0,12.0,11.0,16.0,"2010, 2011, 2012, 2013, 2014, 2015",2017,Regional Sul,Regional,srag,casos
S,29843748,311.49032428237325,0,119.72689333655352,560.2619753487756,880.609393616224,18.0,9.0,22.0,13.0,10.0,16.0,"2010, 2011, 2012, 2013, 2014, 2015, 2016",2017,Região Sul,Região,srag,casos
SE,87521700,353.00898177041904,0,171.8094114840481,531.8482389602161,786.7144926662162,14.0,9.0,24.0,14.0,12.0,17.0,"2010, 2012, 2013, 2014, 2015",2017,Região Sudeste,Região,srag,casos
11,1823741,0.08238801817572416,1,0.02741617367817031,0.11361598957648568,0.16449704206902185,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015",2017,Rondônia,Estado,sragflu,incidência
12,842290,0.21154115023133385,1,0.05936197746619335,0.29887999247730823,0.399962832591688,,,,,,,"2010, 2011, 2012, 2013, 2014, 2015, 2016",2017,Acre,Estado,sragflu,incidência
