dataset_id,territory_id,epiyear,epiweek,alert
1,0,2016,1,1
1,0,2016,2,1
1,0,2016,3,1
1,0,2016,4,1
1,0,2016,5,1
1,0,2016,6,1
1,0,2016,7,1
1,0,2016,8,1
1,0,2016,9,2
1,0,2016,10,2
1,0,2016,11,2
1,0,2016,12,4
1,0,2016,13,4
1,0,2016,14,4
1,0,2016,15,4
1,0,2016,16,4
1,0,2016,17,4
1,0,2016,18,4
1,0,2016,19,4
1,0,2016,20,4
1,0,2016,21,3
1,0,2016,22,3
1,0,2016,23,3
1,0,2016,24,3
1,0,2016,25,3
1,0,2016,26,2
1,0,2016,27,2
1,0,2016,28,2
1,0,2016,29,2
1,0,2016,30,2
1,0,2016,31,2
1,0,2016,32,2
1,0,2016,33,2
1,0,2016,34,2
1,0,2016,35,1
1,0,2016,36,1
1,0,2016,37,1
1,0,2016,38,1
1,0,2016,39,1
1,0,2016,40,1
1,0,2016,41,1
1,0,2016,42,1
1,0,2016,43,1
1,0,2016,44,1
1,0,2016,45,1
1,0,2016,46,1
1,0,2016,47,1
1,0,2016,48,1
1,0,2016,49,1
1,0,2016,50,1
1,0,2016,51,1
1,0,2016,52,1
2,0,2016,1,1
2,0,2016,2,1
2,0,2016,3,1
2,0,2016,4,1
2,0,2016,5,1
2,0,2016,6,2
2,0,2016,7,2
2,0,2016,8,3
2,0,2016,9,4
2,0,2016,10,4
2,0,2016,11,4
2,0,2016,12,4
2,0,2016,13,4
2,0,2016,14,4
2,0,2016,15,4
2,0,2016,16,4
2,0,2016,17,4
2,0,2016,18,4
2,0,2016,19,4
2,0,2016,20,4
2,0,2016,21,4
2,0,2016,22,4
2,0,2016,23,4
2,0,2016,24,4
2,0,2016,25,4
2,0,2016,26,4
2,0,2016,27,3
2,0,2016,28,2
2,0,2016,29,2
2,0,2016,30,2
2,0,2016,31,1
2,0,2016,32,1
2,0,2016,33,2
2,0,2016,34,1
2,0,2016,35,2
2,0,2016,36,1
2,0,2016,37,1
2,0,2016,38,1
2,0,2016,39,1
2,0,2016,40,2
2,0,2016,41,2
2,0,2016,42,2
2,0,2016,43,1
2,0,2016,44,1
2,0,2016,45,1
2,0,2016,46,2
2,0,2016,47,1
2,0,2016,48,1
2,0,2016,49,1
2,0,2016,50,1
2,0,2016,51,1
2,0,2016,52,1
3,0,2016,1,1
3,0,2016,2,1
3,0,2016,3,1
3,0,2016,4,1
3,0,2016,5,1
3,0,2016,6,2
3,0,2016,7,2
3,0,2016,8,2
3,0,2016,9,2
3,0,2016,10,2
3,0,2016,11,4
3,0,2016,12,4
3,0,2016,13,4
3,0,2016,14,4
3,0,2016,15,4
3,0,2016,16,4
3,0,2016,17,4
3,0,2016,18,4
3,0,2016,19,4
3,0,2016,20,4
3,0,2016,21,3
3,0,2016,22,3
3,0,2016,23,3
3,0,2016,24,3
3,0,2016,25,3
3,0,2016,26,2
3,0,2016,27,2
3,0,2016,28,2
3,0,2016,29,2
3,0,2016,30,2
3,0,2016,31,2
3,0,2016,32,1
3,0,2016,33,1
3,0,2016,34,1
3,0,2016,35,1
3,0,2016,36,1
3,0,2016,37,1
3,0,2016,38,1
3,0,2016,39,1
3,0,2016,40,1
3,0,2016,41,1
3,0,2016,42,1
3,0,2016,43,1
3,0,2016,44,1
3,0,2016,45,1
3,0,2016,46,1
3,0,2016,47,1
3,0,2016,48,1
3,0,2016,49,1
3,0,2016,50,1
3,0,2016,51,1
3,0,2016,52,1
1,0,2017,1,1
1,0,2017,2,1
1,0,2017,3,1
1,0,2017,4,1
1,0,2017,5,1
1,0,2017,6,1
1,0,2017,7,1
1,0,2017,8,1
1,0,2017,9,1
1,0,2017,10,1
1,0,2017,11,2
1,0,2017,12,2
1,0,2017,13,2
1,0,2017,14,2
1,0,2017,15,2
1,0,2017,16,2
1,0,2017,17,2
1,0,2017,18,2
1,0,2017,19,2
1,0,2017,20,2
1,0,2017,21,2
1,0,2017,22,2
1,0,2017,23,2
1,0,2017,24,2
1,0,2017,25,2
1,0,2017,26,2
1,0,2017,27,2
1,0,2017,28,2
1,0,2017,29,2
1,0,2017,30,1
1,0,2017,31,1
1,0,2017,32,1
1,0,2017,33,1
1,0,2017,34,1
1,0,2017,35,1
1,0,2017,36,1
1,0,2017,37,1
1,0,2017,38,1
1,0,2017,39,1
1,0,2017,40,1
1,0,2017,41,1
1,0,2017,42,1
1,0,2017,43,1
1,0,2017,44,1
1,0,2017,45,1
1,0,2017,46,1
1,0,2017,47,1
1,0,2017,48,1
1,0,2017,49,1
1,0,2017,50,1
1,0,2017,51,1
1,0,2017,52,1
2,0,2017,1,1
2,0,2017,2,1
2,0,2017,3,1
2,0,2017,4,2
2,0,2017,5,1
2,0,2017,6,2
2,0,2017,7,2
2,0,2017,8,2
2,0,2017,9,2
2,0,2017,10,2
2,0,2017,11,2
2,0,2017,12,2
2,0,2017,13,2
2,0,2017,14,2
2,0,2017,15,2
2,0,2017,16,4
2,0,2017,17,3
2,0,2017,18,4
2,0,2017,19,4
2,0,2017,20,4
2,0,2017,21,4
2,0,2017,22,4
2,0,2017,23,4
2,0,2017,24,4
2,0,2017,25,3
2,0,2017,26,3
2,0,2017,27,2
2,0,2017,28,2
2,0,2017,29,2
2,0,2017,30,2
2,0,2017,31,2
